xpos,value
457,0.173984
458,0.174362
459,0.174739
460,0.175117
461,0.175494
462,0.175872
463,0.176249
464,0.176627
465,0.177004
466,0.177382
467,0.177759
468,0.178136
469,0.178514
470,0.178891
471,0.179268
472,0.179646
473,0.180023
474,0.180400
475,0.180777
476,0.181154
477,0.181532
478,0.181909
479,0.182286
480,0.182663
481,0.183040
482,0.183417
483,0.183794
484,0.184171
485,0.184548
486,0.184925
487,0.185302
488,0.185678
489,0.186055
490,0.186432
491,0.186809
492,0.187185
493,0.187562
494,0.187939
495,0.188315
496,0.188692
497,0.189069
498,0.189445
499,0.189822
500,0.190198
501,0.190575
502,0.190951
503,0.191328
504,0.191704
505,0.192080
506,0.192457
507,0.192833
508,0.193209
509,0.193586
510,0.193962
511,0.194338
512,0.194714
513,0.195090
514,0.195466
515,0.195843
516,0.196219
517,0.196595
518,0.196971
519,0.197347
520,0.197722
521,0.198098
522,0.198474
523,0.198850
524,0.199226
525,0.199602
526,0.199978
527,0.200353
528,0.200729
529,0.201105
530,0.201480
531,0.201856
532,0.202231
533,0.202607
534,0.202983
535,0.203358
536,0.203734
537,0.204109
538,0.204484
539,0.204860
540,0.205235
541,0.205610
542,0.205986
543,0.206361
544,0.206736
545,0.207111
546,0.207487
547,0.207862
548,0.208237
549,0.208612
550,0.208987
551,0.209362
552,0.209737
553,0.210112
554,0.210487
555,0.210862
556,0.211236
557,0.211611
558,0.211986
559,0.212361
560,0.212736
561,0.213110
562,0.213485
563,0.213860
564,0.214234
565,0.214609
566,0.214983
567,0.215358
568,0.215732
569,0.216107
570,0.216481
571,0.216856
572,0.217230
573,0.217604
574,0.217979
575,0.218353
576,0.218727
577,0.219101
578,0.219475
579,0.219850
580,0.220224
581,0.220598
582,0.220972
583,0.221346
584,0.221720
585,0.222094
586,0.222468
587,0.222841
588,0.223215
589,0.223589
590,0.223963
591,0.224337
592,0.224710
593,0.225084
594,0.225458
595,0.225831
596,0.226205
597,0.226578
598,0.226952
599,0.227325
600,0.227699
601,0.228072
602,0.228445
603,0.228819
604,0.229192
605,0.229565
606,0.229939
607,0.230312
608,0.230685
609,0.231058
610,0.231431
611,0.231804
612,0.232177
613,0.232550
614,0.232923
615,0.233296
616,0.233669
617,0.234042
618,0.234415
619,0.234788
620,0.235160
621,0.235533
622,0.235906
623,0.236278
624,0.236651
625,0.237024
626,0.237396
627,0.237769
628,0.238141
629,0.238514
630,0.238886
631,0.239258
632,0.239631
633,0.240003
634,0.240375
635,0.240748
636,0.241120
637,0.241492
638,0.241864
639,0.242236
640,0.242608
641,0.242980
642,0.243352
643,0.243724
644,0.244096
645,0.244468
646,0.244840
647,0.245212
648,0.245583
649,0.245955
650,0.246327
651,0.246698
652,0.247070
653,0.247442
654,0.247813
655,0.248185
656,0.248556
657,0.248928
658,0.249299
659,0.249670
660,0.250042
661,0.250413
662,0.250784
663,0.251155
664,0.251527
665,0.251898
666,0.252269
667,0.252640
668,0.253011
669,0.253382
670,0.253753
671,0.254124
672,0.254495
673,0.254866
674,0.255236
675,0.255607
676,0.255978
677,0.256349
678,0.256719
679,0.257090
680,0.257461
681,0.257831
682,0.258202
683,0.258572
684,0.258943
685,0.259313
686,0.259683
687,0.260054
688,0.260424
689,0.260794
690,0.261164
691,0.261534
692,0.261905
693,0.262275
694,0.262645
695,0.263015
696,0.263385
697,0.263755
698,0.264125
699,0.264494
700,0.264864
701,0.265234
702,0.265604
703,0.265973
704,0.266343
705,0.266713
706,0.267082
707,0.267452
708,0.267821
709,0.268191
710,0.268560
711,0.268930
712,0.269299
713,0.269668
714,0.270038
715,0.270407
716,0.270776
717,0.271145
718,0.271514
719,0.271883
720,0.272252
721,0.272621
722,0.272990
723,0.273359
724,0.273728
725,0.274097
726,0.274466
727,0.274834
728,0.275203
729,0.275572
730,0.275940
731,0.276309
732,0.276678
733,0.277046
734,0.277415
735,0.277783
736,0.278151
737,0.278520
738,0.278888
739,0.279256
740,0.279624
741,0.279993
742,0.280361
743,0.280729
744,0.281097
745,0.281465
746,0.281833
747,0.282201
748,0.282569
749,0.282937
750,0.283304
751,0.283672
752,0.284040
753,0.284408
754,0.284775
755,0.285143
756,0.285510
757,0.285878
758,0.286245
759,0.286613
760,0.286980
761,0.287347
762,0.287715
763,0.288082
764,0.288449
765,0.288816
766,0.289184
767,0.289551
768,0.289918
769,0.290285
770,0.290652
771,0.291019
772,0.291385
773,0.291752
774,0.292119
775,0.292486
776,0.292853
777,0.293219
778,0.293586
779,0.293952
780,0.294319
781,0.294685
782,0.295052
783,0.295418
784,0.295785
785,0.296151
786,0.296517
787,0.296883
788,0.297250
789,0.297616
790,0.297982
791,0.298348
792,0.298714
793,0.299080
794,0.299446
795,0.299812
796,0.300177
797,0.300543
798,0.300909
799,0.301275
800,0.301640
801,0.302006
802,0.302372
803,0.302737
804,0.303103
805,0.303468
806,0.303833
807,0.304199
808,0.304564
809,0.304929
810,0.305294
811,0.305660
812,0.306025
813,0.306390
814,0.306755
815,0.307120
816,0.307485
817,0.307850
818,0.308214
819,0.308579
820,0.308944
821,0.309309
822,0.309673
823,0.310038
824,0.310403
825,0.310767
826,0.311132
827,0.311496
828,0.311860
829,0.312225
830,0.312589
831,0.312953
832,0.313318
833,0.313682
834,0.314046
835,0.314410
836,0.314774
837,0.315138
838,0.315502
839,0.315866
840,0.316230
841,0.316593
842,0.316957
843,0.317321
844,0.317684
845,0.318048
846,0.318412
847,0.318775
848,0.319139
849,0.319502
850,0.319865
851,0.320229
852,0.320592
853,0.320955
854,0.321318
855,0.321682
856,0.322045
857,0.322408
858,0.322771
859,0.323134
860,0.323497
861,0.323859
862,0.324222
863,0.324585
864,0.324948
865,0.325310
866,0.325673
867,0.326035
868,0.326398
869,0.326760
870,0.327123
871,0.327485
872,0.327848
873,0.328210
874,0.328572
875,0.328934
876,0.329296
877,0.329658
878,0.330020
879,0.330382
880,0.330744
881,0.331106
882,0.331468
883,0.331830
884,0.332192
885,0.332553
886,0.332915
887,0.333277
888,0.333638
889,0.334000
890,0.334361
891,0.334723
892,0.335084
893,0.335445
894,0.335806
895,0.336168
896,0.336529
897,0.336890
898,0.337251
